park_name,destination,country,visitor_category,fee_per_person_per_day_usd,child_fee_per_person_per_day_usd,child_age_min,child_age_max,notes
Masai Mara National Reserve,Masai Mara,Kenya,non_resident,200,100,3,17,Managed by Narok County. Children 3-17 years. Under 3 free.
Masai Mara National Reserve,Masai Mara,Kenya,resident,80,40,3,17,Residents of Kenya/EAC with valid documentation
Masai Mara National Reserve,Masai Mara,Kenya,citizen,40,20,3,17,Kenyan citizens with valid ID
Amboseli National Park,Amboseli,Kenya,non_resident,90,45,3,17,KWS Premium Park. Children 50% of adult rate. Under 3 free.
Amboseli National Park,Amboseli,Kenya,resident,60,30,3,17,EAC residents with valid documentation
Amboseli National Park,Amboseli,Kenya,citizen,30,15,3,17,Kenyan/EAC citizens
Lake Nakuru National Park,Lake Nakuru,Kenya,non_resident,90,45,3,17,KWS Premium Park. Flamingo lake. Under 3 free.
Lake Nakuru National Park,Lake Nakuru,Kenya,resident,60,30,3,17,EAC residents
Lake Nakuru National Park,Lake Nakuru,Kenya,citizen,30,15,3,17,Kenyan/EAC citizens
Tsavo East National Park,Tsavo East,Kenya,non_resident,80,40,3,17,KWS Wilderness Park. Under 3 free.
Tsavo East National Park,Tsavo East,Kenya,resident,50,25,3,17,EAC residents
Tsavo East National Park,Tsavo East,Kenya,citizen,25,13,3,17,Kenyan/EAC citizens
Tsavo West National Park,Tsavo West,Kenya,non_resident,80,40,3,17,KWS Wilderness Park. Under 3 free.
Tsavo West National Park,Tsavo West,Kenya,resident,50,25,3,17,EAC residents
Tsavo West National Park,Tsavo West,Kenya,citizen,25,13,3,17,Kenyan/EAC citizens
Nairobi National Park,Nairobi,Kenya,non_resident,80,40,3,17,KWS Urban Park. Under 3 free.
Nairobi National Park,Nairobi,Kenya,resident,50,25,3,17,EAC residents
Nairobi National Park,Nairobi,Kenya,citizen,25,13,3,17,Kenyan/EAC citizens
Samburu National Reserve,Samburu,Kenya,non_resident,85,40,5,17,County managed. Children 5-17. Under 5 free.
Samburu National Reserve,Samburu,Kenya,resident,50,25,5,17,EAC residents
Samburu National Reserve,Samburu,Kenya,citizen,25,13,5,17,Kenyan/EAC citizens
Hell's Gate National Park,Hell's Gate,Kenya,non_resident,50,25,3,17,KWS Scenic Park. Under 3 free.
Hell's Gate National Park,Hell's Gate,Kenya,resident,30,15,3,17,EAC residents
Hell's Gate National Park,Hell's Gate,Kenya,citizen,15,8,3,17,Kenyan/EAC citizens
Aberdare National Park,Aberdare,Kenya,non_resident,70,35,3,17,KWS Wilderness Park. Under 3 free.
Aberdare National Park,Aberdare,Kenya,resident,45,23,3,17,EAC residents
Aberdare National Park,Aberdare,Kenya,citizen,23,12,3,17,Kenyan/EAC citizens
Meru National Park,Meru,Kenya,non_resident,70,35,3,17,KWS Wilderness Park. Under 3 free.
Meru National Park,Meru,Kenya,resident,45,23,3,17,EAC residents
Meru National Park,Meru,Kenya,citizen,23,12,3,17,Kenyan/EAC citizens
Mount Kenya National Park,Mount Kenya,Kenya,non_resident,70,35,3,17,KWS Mountain Park. Under 3 free.
Mount Kenya National Park,Mount Kenya,Kenya,resident,45,23,3,17,EAC residents
Mount Kenya National Park,Mount Kenya,Kenya,citizen,23,12,3,17,Kenyan/EAC citizens
Ol Pejeta Conservancy,Laikipia,Kenya,non_resident,120,60,3,17,Private conservancy. Rates indicative - confirm with property.
Ol Pejeta Conservancy,Laikipia,Kenya,resident,60,30,3,17,Kenya residents
Ol Pejeta Conservancy,Laikipia,Kenya,citizen,30,15,3,17,Kenyan citizens
